评估一和二整合起来的表格,,,,,,,,,
Future Time,Time (Jump) LPIPS,Rollout 1FPS LPIPS,Rollout 4FPS LPIPS,Time (Jump) DreamSim,Rollout 1FPS DreamSim,Rollout 4FPS DreamSim,Time (Jump) FID,Rollout 1FPS FID,Rollout 4FPS FID
1s,0.365,0.386,0.461,0.198,0.206,0.251,57.24,93.29,101.62
2s,0.39,0.448,0.527,0.213,0.246,0.319,58.83,96.73,108.41
4s,0.401,0.493,0.578,0.225,0.291,0.383,62.18,101.64,112.54
8s,0.419,0.539,0.618,0.226,0.343,0.428,63.73,110.78,121.52
16s,0.461,0.603,0.639,0.269,0.435,0.479,69.69,135.6,131.19
,,,,,,,,,
评估三,,,,,,,,,
指标,结果,单位,,,,,,,
ATE,5.8458,m,,,,,,,
RPE,1.2436,m,,,,,,,
PN,9.1301,m,,,,,,,
YN,1.0585,rad,,,,,,,
