评估一和二整合起来的表格,,,,,,,,,
Future Time,Time (Jump) LPIPS,Rollout 1FPS LPIPS,Rollout 4FPS LPIPS,Time (Jump) DreamSim,Rollout 1FPS DreamSim,Rollout 4FPS DreamSim,Time (Jump) FID,Rollout 1FPS FID,Rollout 4FPS FID
1s,0.259,0.278,0.315,0.095,0.103,0.112,25.31,48.36,51.3
2s,0.281,0.308,0.366,0.101,0.107,0.135,26.1,49.99,56.17
4s,0.31,0.377,0.433,0.109,0.139,0.178,26.93,55.27,59.51
8s,0.338,0.47,0.494,0.12,0.244,0.254,26.78,75.65,64.19
16s,0.419,0.548,0.534,0.173,0.349,0.303,32.04,91.29,68.73
,,,,,,,,,
评估三,,,,,,,,,
指标,结果,单位,,,,,,,
ATE,1.2477,m,,,,,,,
RPE,0.3742,m,,,,,,,
PN,1.9128,m,,,,,,,
YN,0.3797,rad,,,,,,,
